Name,Sex,Year,Description
Ernst Weber,M,1963,was a pioneer in microwave technologies and long-time leader of the Polytechnic Institute of New York University (where he was President from 1957 to 1969). In 1945 he founded the Microwave Research Institute at the Polytechnic Institute (later renamed the Weber Research Institute in his honor).
Clarence H. Linder,M,1964,worked at General Electric from 1924 to 1963. He served as GE's Vice President of Engineering from 1953 to 1959.
Bernard M. Oliver,M,1965,"served as the director of research for Hewlett-Packard, where he supervised the production of the first hand-held calculators at Hewlett-Packard in the early 1970s. His professional interests were in Information Theory and Coding Systems."
William G. Shepherd,M,1966,"was Professor and Head at the Department of Electrical Engineering of the University of Minnesota. He invented (with John Pierce) the Pierce-Shepherd tube, which improved radar capabilities during World War II."
Walter K. MacAdam,M,1967,"was a communications engineer and manager at Western Electric Company, the American Telephone and Telegraph Company, and the New York Telephone Company."
Seymour W. Herwald,M,1968,"worked as an engineer and manager at the Westinghouse Electric Corporation, focusing on ordnance development and servomechanism development. His professional interests were in servomechanisms, feedback control systems, and analog computers."
F. Karl Willenbrock,M,1969,"worked for the National Bureau of Standards, and served as the head of the Institute of Applied Technology."
John V. N. Granger,M,1970,"founded the Airbone Systems Laboratory, which researched and developed antennas, microwave components and systems, and aircraft navigation among other things."
"James H. Mulligan, Jr.",M,1971,"was a member of the Combined Research Group of the Naval Research Laboratory, which developed the Mark V radar IFF system."
Robert H. Tanner,M,1972,was a pioneer in the development of the world’s first high-definition television station while he worked at the British Broadcasting Company (BBC).
Harold Chestnut,M,1973,"worked in the control field at the General Electric Company, and he helped to form the International Federation of Automatic Control (IFAC)."
John J. Guarrera,M,1974,"owned his own business, which manufactured microwave components. He also taught at California State University – Northridge."
Arthur P. Stern,M,1975,"pioneered color television while he worked at General Electric. He later became vice chairman of Magnavox, and he served as the president of Magnavox’s Advanced Products and Systems Company."
Joseph K. Dillard,M,1976,"received a BSEE from the Georgia Institute of Technology, and he earned a MSEE from Massachusetts Institute of Technology."
Robert M. Saunders,M,1977,researched the development and application of electromechanical devices.
Ivan A. Getting,M,1978,"is credited (along with Roger L. Easton and Bradford Parkinson) with the development of the Global Positioning System (GPS). He worked at the MIT Radiation Laboratory (where his group developed the first automatic microwave tracking fire control radar, the SCR 584) and the Aerospace Corporation."
Jerome J. Suran,M,1979,worked for the General Electric Company for over thirty years. He also taught in the Graduate School of Management and the Department of Electrical Engineering.
Leo Young,M,1980,"was an expert on microwave technology, and he held 20 patents."
Richard W. Damon,M,1981,directed the Applied Physics Laboratory at the Sperry Rand Research Center.
